Experience,Education,SkillsMatch,Certifications,AppliedBefore,CoverLetter,Shortlisted
19,Bachelor’s,4,0,No,Yes,1
3,Master’s,2,2,No,Yes,0
18,Master’s,5,1,Yes,Yes,1
2,High School,1,3,No,Yes,0
18,Bachelor’s,1,5,No,Yes,1
19,Bachelor’s,5,3,No,Yes,1
6,Bachelor’s,1,5,Yes,Yes,0
19,Bachelor’s,1,4,Yes,Yes,1
8,Bachelor’s,1,3,No,Yes,0
0,Bachelor’s,4,1,Yes,Yes,0
7,Master’s,4,1,Yes,No,0
6,High School,3,3,Yes,Yes,0
17,Bachelor’s,2,1,Yes,Yes,1
7,Master’s,5,4,No,Yes,1
0,Master’s,5,0,No,No,0
10,Bachelor’s,5,4,Yes,Yes,1
17,Bachelor’s,3,5,Yes,Yes,1
9,High School,4,4,Yes,Yes,1
2,Bachelor’s,3,5,No,Yes,0
6,Bachelor’s,5,1,No,Yes,0
15,Bachelor’s,2,0,Yes,Yes,1
15,Bachelor’s,1,1,No,No,0
19,Bachelor’s,4,2,No,Yes,1
16,High School,4,1,No,No,0
1,Bachelor’s,3,5,No,No,0
0,Bachelor’s,4,1,Yes,Yes,0
15,Bachelor’s,5,1,No,No,0
11,High School,5,0,Yes,Yes,1
4,Master’s,3,1,No,Yes,0
4,Bachelor’s,5,0,No,Yes,0
8,Bachelor’s,2,3,No,Yes,0
8,Master’s,3,2,No,Yes,0
2,Bachelor’s,2,0,Yes,Yes,0
18,High School,1,5,Yes,Yes,1
15,Bachelor’s,2,3,No,Yes,0
15,Bachelor’s,1,0,No,Yes,0
2,Master’s,1,0,Yes,Yes,0
19,Bachelor’s,2,2,Yes,Yes,1
0,High School,3,5,Yes,Yes,0
19,Bachelor’s,5,4,No,No,1
10,Bachelor’s,5,4,No,Yes,1
16,Bachelor’s,1,0,Yes,No,0
7,Bachelor’s,1,1,Yes,Yes,0
3,Bachelor’s,3,5,No,Yes,0
5,PhD,4,3,No,Yes,1
7,Bachelor’s,2,1,Yes,Yes,0
19,Bachelor’s,1,1,Yes,Yes,1
2,High School,5,5,Yes,No,0
15,High School,3,0,Yes,Yes,1
2,Bachelor’s,2,0,Yes,No,0
17,High School,3,0,No,No,0
13,High School,2,0,No,No,0
17,Bachelor’s,2,4,No,No,0
1,High School,1,0,No,Yes,0
2,Master’s,3,4,Yes,Yes,1
15,High School,3,4,Yes,Yes,1
8,Bachelor’s,5,0,Yes,Yes,1
3,Bachelor’s,5,2,Yes,Yes,1
0,PhD,1,3,No,No,0
3,High School,1,1,No,Yes,0
0,Bachelor’s,4,4,Yes,Yes,1
13,PhD,5,5,Yes,Yes,1
20,Master’s,2,5,No,Yes,1
15,Master’s,3,3,Yes,Yes,1
19,Bachelor’s,1,5,Yes,No,1
7,High School,3,2,No,Yes,0
6,Bachelor’s,3,5,No,Yes,0
2,Master’s,4,1,Yes,Yes,1
16,Bachelor’s,5,1,Yes,Yes,1
0,Bachelor’s,1,4,No,Yes,0
15,Bachelor’s,3,0,Yes,Yes,1
11,Master’s,1,2,Yes,Yes,1
18,High School,2,4,No,Yes,0
13,Bachelor’s,4,2,Yes,Yes,1
5,Bachelor’s,2,0,No,Yes,0
5,Bachelor’s,1,5,Yes,Yes,0
12,Bachelor’s,1,5,No,Yes,0
18,High School,5,0,Yes,Yes,1
7,Bachelor’s,3,4,Yes,No,0
1,Bachelor’s,3,0,Yes,Yes,0
20,Bachelor’s,2,3,Yes,Yes,1
0,High School,4,1,No,Yes,0
14,Bachelor’s,3,4,No,Yes,1
0,Bachelor’s,5,2,Yes,Yes,1
4,High School,2,3,Yes,Yes,0
15,Bachelor’s,2,4,No,No,0
18,High School,5,0,No,Yes,1
3,High School,4,0,Yes,Yes,0
2,PhD,5,0,Yes,Yes,1
16,Bachelor’s,4,0,Yes,Yes,1
16,Master’s,5,2,No,Yes,1
11,Bachelor’s,5,3,Yes,Yes,1
13,Bachelor’s,1,5,No,No,0
20,Master’s,2,1,Yes,Yes,1
5,Bachelor’s,5,2,No,Yes,1
2,Bachelor’s,5,2,Yes,No,0
8,Bachelor’s,3,5,Yes,Yes,1
4,Bachelor’s,2,5,Yes,No,0
16,Master’s,3,1,No,Yes,1
13,Master’s,2,1,Yes,No,0
20,PhD,3,5,Yes,Yes,1
2,High School,5,0,Yes,No,0
0,Master’s,5,2,Yes,No,1
19,Master’s,1,4,No,Yes,1
20,High School,3,1,No,No,0
0,High School,4,1,No,Yes,0
2,Master’s,1,5,Yes,Yes,0
17,Bachelor’s,3,3,No,Yes,1
9,Master’s,3,4,Yes,Yes,1
2,High School,1,4,Yes,Yes,0
7,Master’s,5,1,Yes,Yes,1
13,Bachelor’s,3,0,Yes,Yes,1
17,High School,5,3,No,No,0
14,High School,1,4,No,No,0
1,Master’s,5,1,No,Yes,0
9,Bachelor’s,2,4,Yes,Yes,1
1,Bachelor’s,4,3,Yes,Yes,1
16,Bachelor’s,3,3,Yes,Yes,1
7,Master’s,4,2,Yes,Yes,1
0,Bachelor’s,5,5,Yes,Yes,1
8,Master’s,3,5,Yes,Yes,1
10,Bachelor’s,5,1,Yes,No,1
15,Bachelor’s,2,3,Yes,Yes,1
6,Bachelor’s,1,2,No,Yes,0
9,Bachelor’s,3,2,No,Yes,0
2,Master’s,2,4,No,Yes,0
17,Bachelor’s,2,4,No,Yes,1
12,Bachelor’s,3,2,Yes,Yes,1
6,Master’s,5,4,No,Yes,1
3,Bachelor’s,2,3,No,Yes,0
12,Bachelor’s,4,0,Yes,No,0
19,Master’s,2,3,Yes,No,1
0,Bachelor’s,5,2,No,Yes,0
7,High School,5,2,Yes,Yes,1
13,Master’s,4,3,Yes,Yes,1
15,Bachelor’s,2,4,Yes,Yes,1
13,Bachelor’s,5,4,Yes,Yes,1
11,High School,3,5,Yes,Yes,1
18,Master’s,1,2,Yes,Yes,1
14,Bachelor’s,1,1,Yes,Yes,0
1,Bachelor’s,1,5,Yes,Yes,0
1,Master’s,2,4,No,No,0
18,Master’s,4,3,Yes,No,1
16,High School,5,4,Yes,No,1
19,Bachelor’s,3,3,Yes,Yes,1
9,Bachelor’s,3,5,No,No,0
5,Master’s,2,2,Yes,Yes,1
14,High School,1,4,Yes,No,0
10,Bachelor’s,2,3,No,Yes,0
4,Master’s,4,2,No,No,0
0,Master’s,4,1,Yes,Yes,1
7,Bachelor’s,5,3,No,No,0
20,Master’s,5,5,Yes,No,1
11,High School,4,1,Yes,Yes,1
11,Master’s,4,1,Yes,Yes,1
4,High School,4,0,Yes,No,0
6,Bachelor’s,2,4,No,Yes,0
3,Master’s,4,3,Yes,No,1
5,High School,3,1,Yes,Yes,0
12,Bachelor’s,1,0,No,Yes,0
19,Master’s,4,5,No,Yes,1
14,Master’s,1,2,Yes,Yes,1
2,Bachelor’s,2,3,No,No,0
7,Bachelor’s,1,1,Yes,Yes,0
19,Bachelor’s,2,4,No,Yes,1
15,Bachelor’s,3,0,No,Yes,0
12,Bachelor’s,2,1,No,Yes,0
17,High School,2,4,Yes,No,0
9,Master’s,5,1,Yes,No,1
18,Bachelor’s,4,3,Yes,Yes,1
16,Bachelor’s,4,3,Yes,No,1
18,Bachelor’s,3,3,Yes,No,1
4,Master’s,3,5,No,Yes,1
20,High School,4,5,Yes,No,1
8,Bachelor’s,5,0,Yes,Yes,1
11,Bachelor’s,4,3,No,Yes,1
20,Bachelor’s,5,4,Yes,No,1
0,High School,3,1,No,Yes,0
0,Master’s,1,2,Yes,No,0
14,Master’s,3,4,Yes,No,1
1,Bachelor’s,3,5,Yes,Yes,1
15,Bachelor’s,2,5,Yes,No,1
7,Master’s,2,4,No,Yes,0
12,Master’s,2,5,Yes,Yes,1
20,High School,2,3,Yes,Yes,1
0,Bachelor’s,5,0,Yes,No,0
15,Bachelor’s,4,1,Yes,Yes,1
6,Bachelor’s,1,0,No,Yes,0
4,Master’s,3,1,Yes,Yes,1
2,Master’s,5,1,No,No,0
11,Master’s,1,0,No,Yes,0
15,Bachelor’s,5,4,Yes,Yes,1
18,High School,5,1,No,Yes,1
4,PhD,3,0,Yes,Yes,1
13,Master’s,4,1,Yes,No,1
4,High School,2,2,Yes,Yes,0
14,Master’s,4,4,No,Yes,1
16,Master’s,3,3,No,No,0
13,Bachelor’s,3,1,Yes,Yes,1
19,Bachelor’s,3,2,No,No,0
4,Bachelor’s,1,3,Yes,Yes,0
11,High School,4,3,Yes,No,0
15,Bachelor’s,4,1,Yes,Yes,1
15,Master’s,5,0,No,Yes,1
20,High School,5,1,No,No,0
6,Bachelor’s,5,2,Yes,No,1
3,Bachelor’s,3,3,Yes,No,0
0,Bachelor’s,4,1,Yes,Yes,0
4,Master’s,3,0,Yes,No,0
9,Bachelor’s,1,1,Yes,No,0
4,Bachelor’s,5,4,No,Yes,1
3,Master’s,3,0,Yes,No,0
1,Bachelor’s,3,2,Yes,No,0
19,Bachelor’s,1,3,Yes,Yes,1
9,Bachelor’s,2,1,No,Yes,0
18,High School,4,0,No,Yes,0
0,High School,2,4,Yes,Yes,0
4,Bachelor’s,5,0,No,Yes,0
12,Bachelor’s,3,5,Yes,Yes,1
3,Master’s,1,4,Yes,Yes,0
15,Bachelor’s,1,2,Yes,Yes,1
15,Bachelor’s,4,3,Yes,Yes,1
1,Bachelor’s,2,2,Yes,No,0
16,High School,4,1,No,No,0
19,Bachelor’s,3,0,No,Yes,0
11,High School,4,5,No,No,0
17,PhD,1,4,Yes,Yes,1
2,High School,1,4,Yes,Yes,0
0,Bachelor’s,5,0,No,Yes,0
0,High School,5,5,Yes,Yes,1
18,PhD,3,0,Yes,No,1
10,Bachelor’s,2,1,Yes,No,0
4,Bachelor’s,4,2,No,Yes,0
11,High School,3,4,Yes,Yes,1
2,Master’s,5,1,Yes,Yes,1
0,Bachelor’s,4,2,No,Yes,0
0,Master’s,5,1,Yes,Yes,1
7,Bachelor’s,4,5,Yes,Yes,1
9,High School,2,4,Yes,No,0
10,High School,3,0,Yes,No,0
11,Bachelor’s,4,0,No,Yes,0
12,Bachelor’s,1,2,Yes,No,0
11,High School,1,3,Yes,Yes,0
13,Master’s,4,5,No,Yes,1
1,Bachelor’s,4,2,No,Yes,0
18,Bachelor’s,4,3,No,Yes,1
17,Bachelor’s,1,1,Yes,No,0
2,Bachelor’s,1,5,Yes,Yes,0
16,Bachelor’s,4,1,No,Yes,1
7,High School,5,4,No,Yes,1
9,High School,5,5,Yes,Yes,1
1,Master’s,2,3,Yes,No,0
18,Master’s,3,4,Yes,Yes,1
8,Bachelor’s,5,0,No,Yes,0
6,Bachelor’s,1,3,Yes,Yes,0
3,Bachelor’s,5,2,Yes,Yes,1
20,Bachelor’s,2,0,Yes,Yes,1
17,High School,2,0,No,Yes,0
12,High School,3,2,No,Yes,0
10,Master’s,5,5,Yes,No,1
3,Bachelor’s,1,0,No,No,0
20,High School,1,3,No,No,0
3,Bachelor’s,4,4,Yes,Yes,1
9,Bachelor’s,1,0,Yes,Yes,0
4,Bachelor’s,3,3,Yes,Yes,1
8,High School,3,1,No,No,0
2,High School,1,3,Yes,Yes,0
16,Master’s,1,4,No,Yes,1
2,High School,4,3,No,Yes,0
15,Bachelor’s,1,2,Yes,Yes,1
3,Bachelor’s,4,4,No,Yes,0
17,High School,4,5,Yes,Yes,1
16,Bachelor’s,1,1,Yes,No,0
6,Master’s,2,2,No,Yes,0
4,Master’s,2,5,No,Yes,0
11,Master’s,4,3,Yes,Yes,1
16,Bachelor’s,1,4,No,Yes,0
12,Bachelor’s,2,1,No,Yes,0
2,Bachelor’s,1,2,Yes,No,0
8,Bachelor’s,1,5,No,Yes,0
16,Master’s,1,5,Yes,No,1
16,High School,5,1,Yes,Yes,1
19,High School,1,3,Yes,Yes,1
15,Bachelor’s,5,1,No,No,0
12,High School,4,5,No,Yes,1
18,High School,2,0,Yes,Yes,0
16,Bachelor’s,2,2,Yes,Yes,1
3,Bachelor’s,2,1,No,Yes,0
11,Master’s,2,5,Yes,No,1
8,Master’s,2,3,No,Yes,0
18,Bachelor’s,2,5,No,No,0
11,Bachelor’s,2,3,Yes,No,0
8,Bachelor’s,4,1,No,Yes,0
